"","basisOfRecord","catalogNumber","collectionCode","datasetID","day","decimalLatitude","decimalLongitude","eventDate","individualCount","institutionCode","modified","month","occurrenceID","occurrenceStatus","scientificName","scientificNameID","year","id","dataset_id","node_id","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","kingdom","phylum","subphylum","infraphylum","parvphylum","gigaclass","superclass","class","subclass","order","family","subfamily","genus","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","familyid","subfamilyid","genusid","speciesid","aphiaID","originalScientificName","category","flags","bathymetry","shoredistance","sst","sss","coordinateUncertaintyInMeters","country","fieldNumber","footprintWKT","locality","maximumDepthInMeters","minimumDepthInMeters","organismID","organismQuantity","organismQuantityType","sex","vernacularName","depth","coordinatePrecision","scientificNameAuthorship","taxonRank","datasetName","disposition","dynamicProperties","eventID","geodeticDatum","habitat","preparations","recordedBy","samplingProtocol","specificEpithet","superdomain","superdomainid","countryCode","dataGeneralizations","georeferenceProtocol","georeferencedBy","identifiedBy","institutionID","island","islandGroup","language","license","locationID","occurrenceRemarks","ownerInstitutionCode","parentEventID","references","sampleSizeUnit","sampleSizeValue","stateProvince","taxonID","type","verbatimDepth","verbatimEventDate","waterBody","bibliographicCitation","lifeStage","associatedReferences","collectionID","continent","eventRemarks","locationRemarks","municipality","parentNameUsageID","recordNumber","taxonomicStatus","acceptedNameUsage","acceptedNameUsageID","georeferenceSources","georeferenceVerificationStatus","higherGeography","identificationID","previousIdentifications","rightsHolder","verbatimSRS","eventTime","georeferenceRemarks","maximumElevationInMeters","minimumElevationInMeters","dateIdentified"
"1","HumanObservation","BTE_ 6251","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","11",4.85,54.65,"2007-08-11/2007-08-11","70.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","8","Balbaya_tuna_ecoscope_ 6251","present","Thunnus obesus","urn:lsid:marinespecies.org:taxname:127028","2007","0003f62d-63b7-486a-bd16-948a2f1cbc1b","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1186790400000,1186790400000,1186790400000,2007,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus obesus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127028,127028,"Thunnus obesus","VU","NO_DEPTH",5128,621125,27.93,35.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","HumanObservation","BTE_ 7078","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","13",-6,58.55,"2008-11-13/2008-11-13","232.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","11","Balbaya_tuna_ecoscope_ 7078","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2008","001a352b-bfb7-4507-8761-6be2214fd751","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1226534400000,1226534400000,1226534400000,2008,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",2737,277367,28.11,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","HumanObservation","BTE_ 4211","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","22",-5.32,69.07,"2005-01-22/2005-01-22","150.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","1","Balbaya_tuna_ecoscope_ 4211","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2005","00455e26-b780-4323-a4a5-a22a68c88fe6","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1.106352e+12,1.106352e+12,1.106352e+12,2005,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",3124,266020,28.74,34.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","HumanObservation","BTE_ 4376","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","25",-14.92,41.83,"2005-04-25/2005-04-25","58.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","4","Balbaya_tuna_ecoscope_ 4376","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2005","0052043c-e46b-4603-8ac2-d0dae5764f42","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1114387200000,1114387200000,1114387200000,2005,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",2720,107634,27.62,34.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","HumanObservation","BTE_ 9187","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","6",-4.17,58.73,"2012-11-06/2012-11-06","37.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","11","Balbaya_tuna_ecoscope_ 9187","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2012","00808e7c-a7d7-4cf9-84f3-5fa0ad934e9a","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1.35216e+12,1.35216e+12,1.35216e+12,2012,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",4148,311385,28.49,35.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HumanObservation","BTE_ 4257","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","23",-4.67,48.67,"2005-02-23/2005-02-23","3.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","2","Balbaya_tuna_ecoscope_ 4257","present","Thunnus obesus","urn:lsid:marinespecies.org:taxname:127028","2005","00905b19-8011-4e81-a00f-c3cbf306cf9b","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1109116800000,1109116800000,1109116800000,2005,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus obesus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127028,127028,"Thunnus obesus","VU","NO_DEPTH",4863,486997,27.82,35.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HumanObservation","BTE_ 6061","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","17",-14.88,43.88,"2007-04-17/2007-04-17","75.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","4","Balbaya_tuna_ecoscope_ 6061","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2007","00bd0862-0b50-46cf-8da4-341431f48f5c","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1.176768e+12,1.176768e+12,1.176768e+12,2007,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",3473,157629,27.77,34.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HumanObservation","BTE_ 6837","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","19",-4.65,58.8,"2008-07-19/2008-07-19","50.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","7","Balbaya_tuna_ecoscope_ 6837","present","Thunnus obesus","urn:lsid:marinespecies.org:taxname:127028","2008","00e765ee-fa9b-421f-bc27-99816aa4b066","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1216425600000,1216425600000,1216425600000,2008,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus obesus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127028,127028,"Thunnus obesus","VU","NO_DEPTH",3856,315594,28.4,35.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","HumanObservation","BTE_ 5125","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","28",-8.93,53.65,"2006-01-28/2006-01-28","50.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","1","Balbaya_tuna_ecoscope_ 5125","present","Thunnus albacares","urn:lsid:marinespecies.org:taxname:127027","2006","00ec9683-f726-46f3-b253-12cada4cad96","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1138406400000,1138406400000,1138406400000,2006,FALSE,FALSE,TRUE,TRUE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus albacares",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127027,127027,"Thunnus albacares","NT","NO_DEPTH",4082,220868,27.49,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","HumanObservation","BTE_ 4765","Balbaya_tuna_ecoscope","https://marineinfo.org/id/dataset/4524","19",-3.17,56.83,"2005-08-19/2005-08-19","44.0","IRD, UMR EME, Sète, France","2017-12-06 13:37:44","8","Balbaya_tuna_ecoscope_ 4765","present","Thunnus obesus","urn:lsid:marinespecies.org:taxname:127028","2005","01083168-6e10-4300-99d3-44919cc1f289","cbe5c6ff-26f1-460d-8aee-557cb911a9bd","4bf79a01-65a9-4db6-b37b-18434f26ddfc",1124409600000,1124409600000,1124409600000,2005,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Scombriformes","Scombridae","Scombrinae","Thunnus","Thunnus obesus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517490,125559,267118,126065,127028,127028,"Thunnus obesus","VU","NO_DEPTH",4211,146480,28.57,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
